Time,Tco,Tho
924.0,46.698532,63.463992
925.0,46.698531,63.447994
926.0,46.69853,63.432015
927.0,46.69853,63.416055
928.0,46.69853,63.400112
929.0,46.69853,63.384188
930.0,46.69853,63.368282
931.0,46.698531,63.352394
932.0,46.698532,63.336524
933.0,46.698533,63.320672
934.0,46.698534,63.304839
935.0,46.698536,63.289023
936.0,46.698536,63.273226
937.0,46.698537,63.257446
938.0,46.698537,63.241685
939.0,46.698538,63.225942
940.0,46.698539,63.210216
941.0,46.698541,63.194509
942.0,46.698542,63.17882
943.0,46.698543,63.163148
944.0,46.698545,63.147494
945.0,46.698547,63.131859
946.0,46.698549,63.116241
947.0,46.698551,63.100641
948.0,46.698553,63.085058
949.0,46.698555,63.069494
950.0,46.698557,63.053947
951.0,46.69856,63.038418
952.0,46.698562,63.022907
953.0,46.698564,63.007414
954.0,46.698567,62.991938
955.0,46.69857,62.97648
956.0,46.698572,62.961039
957.0,46.698575,62.945617
958.0,46.698578,62.930211
959.0,46.69858,62.914824
960.0,46.698583,62.899454
961.0,46.698586,62.884101
962.0,46.698588,62.868767
963.0,46.698591,62.853449
964.0,46.698594,62.838149
965.0,46.698596,62.822867
966.0,46.698599,62.807602
967.0,46.698601,62.792354
968.0,46.698604,62.777124
969.0,46.698606,62.761911
970.0,46.698608,62.746716
971.0,46.69861,62.731538
972.0,46.698612,62.716377
973.0,46.698614,62.701234
974.0,46.698615,62.686108
975.0,46.698617,62.670999
976.0,46.698618,62.655908
977.0,46.698619,62.640833
978.0,46.69862,62.625776
979.0,46.69862,62.610736
980.0,46.698621,62.595714
981.0,46.698621,62.580708
982.0,46.698621,62.56572
983.0,46.69862,62.550748
984.0,46.698619,62.535794
985.0,46.698622,62.520857
986.0,46.698625,62.505937
987.0,46.698627,62.491034
988.0,46.69863,62.476148
989.0,46.698633,62.461279
990.0,46.698636,62.446427
991.0,46.698639,62.431592
992.0,46.698641,62.416774
993.0,46.698644,62.401973
994.0,46.698647,62.387188
995.0,46.698649,62.372421
996.0,46.698652,62.35767
